,date_time,F_actual,OPmode,OPstate,RPM_actual,currenttoolnum,cuttingTime,cycletime,executionFlag,feedF,feedratio,inspectionData,line_name,machine_num,operatingTime,poweronTime,shop_name,spindle_load,spindle_temp,spindleratio,tool_current_life_01,tool_current_life_02,tool_current_life_03,tool_current_life_04,tool_current_life_05,tool_current_life_11,tool_current_life_12,tool_current_life_13,tool_current_life_14,tool_current_life_15,tool_preset_life_01,tool_preset_life_02,tool_preset_life_03,tool_preset_life_04,tool_preset_life_05,tool_preset_life_11,tool_preset_life_12,tool_preset_life_13,tool_preset_life_14,tool_preset_life_15,workcount,x_pos,y_pos,z_pos
0,20191027053006.192,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,20191027053006.223,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2,20191027053006.239,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,20191027053006.285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,390274.0,-146537.0,9400.0
4,20191027053006.489,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,20191027053006.520,,,,,,,,2.0,,,,,,,,,232.0,,,,,,,,,,,,,,,,,,,,,,,,,,
6,20191027053006.551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,296441.0,-233233.0,0.0
7,20191027053006.582,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,20191027053006.598,,,,,,,,,,,,,,,,,111.0,,,,,,,,,,,,,,,,,,,,,,,,,,
9,20191027053006.629,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,20191027053006.660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,291528.0,-237772.0,-6660.0
11,20191027053006.707,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,20191027053006.723,,,,,,,,,,,,,,,,,54.0,,,,,,,,,,,,,,,,,,,,,,,,,,
13,20191027053006.754,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,20191027053006.785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,291528.0,-237772.0,-99600.0
15,20191027053006.848,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,20191027053006.879,,,,,,,,,,,,,,,,,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,
17,20191027053006.895,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,291528.0,-237772.0,-188553.0
18,20191027053006.942,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,20191027053006.957,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,
20,20191027053007.035,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,20191027053007.082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,291528.0,-237772.0,-204553.0
22,20191027053007.145,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,20191027053007.176,,,,,,,,2.0,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,
24,20191027053007.207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,294047.0,-239227.0,-204553.0
